ID,Name,Sex,Age,Height,Weight
1,A Dijiang,M,24,1800.0,800.0
2,A Lamusi,M,23,1700.0,600.0
3,Gunnar Nielsen Aaby,M,24,,
8,"Cornelia ""Cor"" Aalten (-Strannood)",F,18,1680.0,
10,"Einar Ferdinand ""Einari"" Aalto",M,26,,
12,Jyri Tapani Aalto,M,31,1720.0,700.0
13,Minna Maarit Aalto,F,30,1590.0,555.0
15,Arvo Ossian Aaltonen,M,22,,
17,Paavo Johannes Aaltonen,M,28,1750.0,640.0
18,Timo Antero Aaltonen,M,31,1890.0,1300.0
19,Win Valdemar Aaltonen,M,54,,
21,Ragnhild Margrethe Aamodt,F,27,1630.0,
22,Andreea Aanei,F,22,1700.0,1250.0
23,Fritz Aanes,M,22,1870.0,890.0
25,Alf Lied Aanning,M,24,,
27,Johan Aantjes,M,26,,
28,Jan-Erik Aarberg,M,43,1700.0,770.0
29,Willemien Aardenburg,F,22,,
30,Pepijn Aardewijn,M,26,1890.0,720.0
31,Evald rma (rman-),M,24,1740.0,700.0
32,Olav Augunson Aarnes,M,23,,
33,Mika Lauri Aarnikka,M,24,1870.0,760.0
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30,1870.0,760.0
36,Stefan Remco Aartsen,M,21,1940.0,780.0
37,Ann Kristin Aarnes,F,23,1820.0,640.0
38,Karl Jan Aas,M,20,,
39,Lars Thorlaksn Aas,M,33,,
41,Rolf Aas,M,28,,
42,Thomas Valentin Aas,M,25,,
43,Morten Gjerdrum Aasen,M,34,1850.0,750.0
45,Hakon Aasns,M,41,,
46,Hans Aasns,M,33,1940.0,930.0
47,Erling Rudolf Aastad,M,22,1770.0,740.0
48,Abdelhak Aatakni,M,24,,640.0
49,Moonika Aava,F,24,1680.0,650.0
50,Arvi Aavik,M,22,1850.0,1060.0
51,Nstor Abad Sanjun,M,23,1670.0,640.0
52,Patrick Abada,M,22,1890.0,800.0
53,Talaat Abada,M,24,1720.0,580.0
54,Mohamed Jamshid Abadi,M,0,,
55,Antonio Abadia Beci,M,26,1700.0,650.0
56,Ren Abadie,M,21,,
57,Borislav Abadzhiev,M,24,1760.0,660.0
58,Georgi Abadzhiev,M,0,,
59,Ivan Nikolov Abadzhiev,M,24,1640.0,710.0
60,Mikhail Abadzhiev,M,24,1720.0,750.0
61,Stefan Abadzhiev,M,26,1750.0,720.0
62,Giovanni Abagnale,M,21,1980.0,900.0
63,Jos Luis Abajo Gmez,M,30,1940.0,870.0
64,M'Bairo Abakar,M,31,,
65,Patimat Abakarova,F,21,1650.0,490.0
66,Mohamed Abakkar,M,0,1560.0,480.0
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,1790.0,800.0
68,Pablo Martn Abal,M,23,1780.0,760.0
69,Tamara Abalde Daz,F,19,1850.0,720.0
70,Jess Iory Aball Martnez,M,26,1670.0,650.0
71,Juan Antonio Aball Delgado,M,27,1720.0,820.0
72,Aleksey Aleksandrovich Abalmasov,M,24,1800.0,830.0
73,Luc Abalo,M,23,1820.0,860.0
74,Mara Laura Abalo,F,30,1820.0,730.0
75,Giorgos Abalof,M,22,1780.0,700.0
76,Jouan Patrice Abanda Etong,M,22,1850.0,820.0
77,Antoine Abang,M,27,1660.0,750.0
78,Salim Abanoz,M,26,,
79,Carlos Abarca Gonzlez,M,23,,
80,Jos Mara Abarca Plotas,M,22,1860.0,830.0
81,Georgios Abaris,M,22,1900.0,770.0
82,Enrique Abaroa Martnez,M,26,1830.0,750.0
83,Carlos Arturo Abarza Chavez,M,22,,
84,Stephen Anthony Abas,M,26,1650.0,550.0
85,Alejandro Abascal Garca,M,24,1810.0,820.0
86,Jos Manuel Abascal Gmez,M,22,1820.0,670.0
87,Rost'om Omeris dze Abashidze,M,29,1880.0,970.0
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25,1680.0,1050.0
89,Rodrigo Abasolo,M,21,,
90,Tamila Rashidovna Abasova,F,21,1630.0,600.0
91,Emanuele Abate,M,27,1900.0,800.0
92,Ignazio Abate,M,21,1800.0,730.0
93,Jol Marc Abati,M,34,1900.0,850.0
94,Ral Abatte,M,38,,
95,Georgia Abatzidou,F,35,1550.0,430.0
96,Carlos Rodolfo Abaunza Balladares,M,18,1680.0,600.0
97,Carlos Alberto Abaunza,M,16,1800.0,700.0
98,Hctor Abaunza,M,30,1690.0,750.0
99,Pter Abay,M,30,1810.0,790.0
100,Oszkr Abay-Nemes,M,22,,
101,Adeyemi Abayomi,M,25,1700.0,510.0
102,Sayed Fahmy Abaza,M,0,,
103,Silvano Abba,M,25,,
104,Gana Abba Kimet,M,26,,
105,Ilyas Abbadi,M,19,1750.0,750.0
106,Agostino Abbagnale,M,22,1880.0,960.0
107,Carmine Abbagnale,M,22,1820.0,900.0
108,Giuseppe Abbagnale,M,20,1870.0,970.0
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23,1760.0,640.0
110,Abubakar Abbas Abbas,M,20,1750.0,660.0
111,Aqarab Abbas,M,22,1900.0,880.0
112,Aziz Abbas,M,21,1690.0,670.0
113,Bassim Abbas Kati Al-Ogaili,M,22,1750.0,800.0
114,Essa Abbas Faleh Hashem,M,20,1600.0,650.0
115,Ghulam Abbas,M,24,1810.0,740.0
116,Hosni Mohamed Abbas,M,32,,600.0
117,Maher Abbas,M,22,1780.0,780.0
118,Mahmoud Abbas,M,22,1650.0,650.0
119,Mohamed Fakhry Rifaat Abbas,M,19,,
120,Mohammed Abbas Sabih,M,26,1700.0,700.0
122,Nader Sufyan Abbas,M,28,1730.0,770.0
123,Sohail Abbas,M,25,1780.0,800.0
124,Youssef Mohamed Abbas,M,31,,
125,Zulkifli Abbas,M,28,1700.0,620.0
127,Shakeel Abbasi,M,20,1650.0,600.0
128,Soulmaz Abbasi Azad,F,28,1730.0,600.0
129,Ruslan Abbasov,M,22,1810.0,740.0
130,Tural Abbasov,M,18,1820.0,760.0
131,Tran Abbasova,F,33,1590.0,530.0
132,Simona Abbate,F,28,1710.0,640.0
134,Christian Abbiati,M,23,1920.0,900.0
135,Lois Abbingh,F,23,1780.0,720.0
136,Alessandro Abbio,M,29,1950.0,850.0
138,Salwan Jasim Abbood Abbood,M,24,1800.0,1040.0
140,"William ""Bill"" Abbott Jr.",M,42,1720.0,800.0
141,Clare Abbott,F,30,1670.0,580.0
142,"David ""Dave"" Abbott",M,26,1830.0,750.0
143,"Desmond ""Des"" Abbott",M,21,1840.0,870.0
144,Geoffrey Grant Abbott,M,23,1790.0,800.0
146,Jeremy Abbott,M,19,1790.0,710.0
147,Joanne Abbott,F,41,1600.0,570.0
148,"Kathryn ""Katie"" Abbott",F,21,1640.0,630.0
149,Mara Katherine Abbott,F,30,1630.0,520.0
152,Matt Abbott,M,34,1850.0,910.0
153,Monica Cecilia Abbott,F,23,1910.0,880.0
154,Khadija Abbouda,F,40,1650.0,570.0
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22,1850.0,980.0
156,Mahmoud Abd El-Kader,M,23,1950.0,940.0
157,Mohamed Ibrahim Abd El-Salam,M,22,1920.0,830.0
158,Noha Abd Rabo,F,21,,
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15,1670.0,600.0
160,Ali Abdalla Afringi,M,25,1630.0,570.0
161,Hossam Abdalla,M,28,2030.0,970.0
162,Hosam Abdallah,M,25,,
163,Ismail Abdallah,M,0,,
164,Maged Abdallah,M,22,,
165,Nia Nicole Abdallah,F,20,1750.0,560.0
166,Omari Abdallah,M,21,1680.0,570.0
167,Ould Lamine Abdallah,M,0,,
168,Younis Abdallah Rabee,M,23,1690.0,680.0
169,Raida Abdallah Bader,F,19,1580.0,490.0
170,Maha Abdalsalam Gouda,F,18,1720.0,610.0
171,Mahmoud Abdel Aziz,M,25,1740.0,700.0
172,Mohamed Abdel Ellah,M,32,1680.0,680.0
173,Mohamed Abdel Fatah,M,0,1700.0,690.0
174,Ali Mohamed Badawi Abdel Fattah Badawi,M,19,,
175,Abdelgani Hassan Abdel Fattah,M,31,,
176,Mahmoud Atter Abdel Fattah,M,0,,
177,Mohamed Abdel Fattah,M,23,1740.0,690.0
178,Sayed Abdel Gadir,M,23,1800.0,560.0
179,Ibrahim Saad Abdel Galil,M,0,1760.0,730.0
180,Heba Abdel Gawad,F,18,1540.0,480.0
181,Sara Abdel Gawad,F,18,1530.0,460.0
182,Gamal Amin Abdel Ghani,M,29,,
183,Abdel Sattar Abdel Hadj,M,0,,
184,Ragy Abdel Hady,M,30,1860.0,1000.0
185,Osman Abdel Hafeez,M,31,,
186,Mohamed Abdel Hafiz,M,0,,
187,Moustafa Ali Abdel Halim,M,32,1520.0,520.0
188,Mohamed Abdel Hamed,M,24,1930.0,820.0
189,Hwad Ibrahim Abdel Hamid Lumomba,M,0,1620.0,570.0
190,Ibrahim Abdel Hamid,M,0,,
191,Tamer Mohamed Abdel Hamid,M,20,,
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,25,1890.0,850.0
193,Dorri Abdel Kader Said,M,21,,
194,Moustafa Mounib Abdel Kader,M,0,1760.0,670.0
195,Mohamed Ali Abdel Kerim,M,24,,810.0
196,Mohamed Abdel Khaled,M,24,1830.0,760.0
197,Abdel Latif Abdel Latif,M,28,1720.0,680.0
198,Walid Abdel Maksoud,M,29,,
199,Amir Abdel Meguid,M,23,1780.0,670.0
200,Mohamed Abdel Mohamed,M,24,,
201,Karim Abdel Mohsen,M,25,1880.0,920.0
202,Awad Abdel Nabi Awad,M,19,1980.0,800.0
203,Ahmed Abdel Naeim,M,23,1970.0,870.0
204,Moustafa Abdel Naser,M,21,1760.0,740.0
205,Ali Abdel Radi,M,24,,
206,Amin Abdel Rahman,M,22,,
207,Mohamed Fathallah Abdel Rahman,M,21,,
208,Fathi Ali Abdel Rahman,M,20,,
209,Ibrahim Abdel Rahman,M,0,,
210,Khaled Abdel Rahman,M,27,1880.0,790.0
211,Sameh Abdel Rahman,M,21,,
212,Yasser Abdel Rahman Sakr,M,30,1800.0,1200.0
213,Samy Abdel Razek,M,28,1700.0,600.0
214,Mohamed Youssef Abdel Razik,M,21,,
215,Ibrahim Ahmed Abdel Rehim,M,21,1900.0,830.0
216,Kamal Abdel Rehim,M,26,1900.0,950.0
217,Reskalla Mohamed Abdel Rehim,M,22,1650.0,480.0
218,Ahmed Ali Abdel Samad,M,27,1950.0,950.0
219,Ali Abdel Sami,M,28,,
220,Mohamed Abdel Sami,M,0,,
221,Sameh Abdel Waress Muhammad,M,24,,
222,Mohamed Said Abdel Wehab,M,22,1570.0,480.0
223,Mahmoud Abdel-Aal,M,19,,
224,Mohamed Abdel-El,M,0,,
225,Shaimaa Abdel-Latif-Hashad,F,23,1650.0,570.0
226,Sanad Bushara Abdel-Nadif,M,0,,
227,Ahmed Abdelaal,M,27,1880.0,890.0
228,Mahmoud Abdelaal,M,24,1760.0,600.0
229,Mohamed Ali Abdelaal,M,26,1750.0,810.0
230,Moustafa Abdelal,M,0,,
231,Mahmod Abdelaly,M,41,,
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,24,1730.0,770.0
233,Aziza Abdelfattah,F,17,1590.0,510.0
234,Abdalla Abdelgadir El-Sheikh,M,21,1700.0,580.0
235,Magdi Abdelghani Sayed Ahmed,M,25,,
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,21,1700.0,940.0
237,Ben Ahmed Abdelkrim,M,20,,
238,Mohamed Abdellah,M,36,1700.0,700.0
239,Ayoub Abdellaoui,M,23,1840.0,680.0
240,Leila Abdelmoez,F,19,1600.0,460.0
241,Sayed Abdelmonem Sayed Hamed,M,23,1700.0,600.0
242,Ahmed Abdelrahman,M,20,1650.0,600.0
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,23,1940.0,960.0
244,Raouf Abdelraouf,M,22,1670.0,630.0
245,Abouelfetoh Abdelrazek,M,21,,
246,Mamdouh Abdelrehim,M,26,2070.0,900.0
247,El-Hachemi Abdenouz,M,24,1700.0,630.0
248,Rda Abdenouz,M,19,1700.0,630.0
249,Mouni Abderrahim,F,22,1730.0,600.0
250,Saeid Morad Abdevali,M,22,1700.0,800.0
251,Bashir Abdi,M,27,1760.0,560.0
252,Youcef Abdi,M,30,1780.0,660.0
253,Jamal Abdi Hassan Abdullah,M,19,1770.0,650.0
254,Talal Omar Abdillahi,M,21,1700.0,570.0
255,Mahmoud Ahmed Abdin,M,21,,
256,"Abdihakim ""Abdi"" Abdirahman",M,23,1780.0,610.0
257,Ali Abdo,M,19,1690.0,740.0
258,Hamza Abdo,M,17,,
259,Reema Abdo,F,21,1730.0,590.0
260,Ahmed Abdo Mustafa,M,0,,
261,Nasrollah Abdollahi,M,24,1830.0,750.0
262,Yhyacinthe Mewoli Abdon,M,26,1760.0,600.0
263,Hassane Abdou,M,23,1850.0,670.0
264,Justin Abdou,M,29,1750.0,850.0
265,Moustafa Ahmed Ismail Abdou Ali Arfah,M,31,,
266,Raouf Abdou,M,22,1650.0,600.0
267,Mohamed Abdou El-Souad,M,19,1800.0,760.0
268,Brahim Daoud Abdoulaye,M,25,,710.0
269,Fawziya Abdoulkarim,F,27,1800.0,670.0
270,Alaa El-Din Abdoun,M,23,1880.0,780.0
271,Ibrahim Abdrabbou,M,27,,
272,Berik Abdrakhmanov,M,30,1650.0,600.0
273,Maizurah Abdul Rahim,F,17,1470.0,500.0
274,Mehdi Fahim Abdul Al-Sada,M,24,1840.0,700.0
275,Bashir Abdullah Abdul Aziz,M,22,1800.0,730.0
276,Chairil Anwar Abdul Aziz,M,24,1630.0,610.0
277,Shaimaa Abdul Aziz,F,19,1600.0,530.0
278,Mohamed Abdul Hadj,M,25,,
279,Jefri Kiko Bolkiah Abdul Hakeem,M,23,1720.0,900.0
280,Mohamed Abdul Hamid,M,19,1750.0,550.0
281,S. Abdul Hamid,M,0,,
282,Hadi Abdul Jabbar,M,30,1800.0,1175.0
283,Mohamed Abed Abdul Jawad,M,22,1690.0,650.0
284,Anouar Abdul Kader,M,27,,
285,Talal Hassoun Abdul Kader,M,0,,820.0
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23,1690.0,600.0
287,Taha Abdul Karim,M,20,1560.0,590.0
288,Masoud Abdul Khamis Al-Rahman,M,17,1760.0,680.0
289,Abdul Haji Abdul Latheef,M,17,1680.0,540.0
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14,,
291,Majed Ahmed Abdul Mohamed,M,26,1720.0,700.0
292,Firouz Abdul Mohammadian,M,34,1780.0,740.0
293,Hussam Abdul Rahman,M,30,1750.0,800.0
294,Mohamed Ghulom Abdul Rahman,M,0,1750.0,850.0
295,Suleman Abdul Rahman,M,29,1740.0,550.0
296,Zambrose Abdul Rahman,M,24,1730.0,640.0
297,Lala Abdul Rashid,M,38,1690.0,910.0
298,Muhammad Abdul Rashid,M,23,1810.0,720.0
299,Dana Abdul Razak (Hussain-),F,22,1630.0,560.0
300,A. Abdul Razzak,M,0,1780.0,700.0
301,Mohamed Abdul Razzak,M,0,1770.0,680.0
302,Muhammad Abdul Razzaq,M,0,,
303,Hazim Abdul Ridha,M,0,1600.0,520.0
304,Rauf Abdul Seoud,M,21,,
305,Samir Ahmed Abdul Shakour,M,24,1800.0,720.0
306,Nabil Abdul Tahlak,M,39,,
307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,23,,
308,Mohamed Abdul Wahab Al-Salah,M,21,,
309,Qazi Abdul Waheed,M,30,,
310,Patmawati Abdul Wahid,F,32,1580.0,580.0
311,Haidar Abdul-Amir Hassan,M,21,1850.0,800.0
312,Haidar Abdul-Razzaq Hassan,M,22,1750.0,750.0
313,"Lawal Kolawole ""Kola"" Abdulai",M,21,1720.0,660.0
314,"Rukayatu ""Ruky"" Abdulai",F,22,1800.0,590.0
315,Mona Ahmad Abdulaziz Hassanein,F,26,1660.0,610.0
316,Zagalav Abdulbekovich Abdulbekov,M,26,1600.0,620.0
317,Roosevelt M. Abdulgafur,M,24,1810.0,730.0
318,Ahmed Abdulkareem Ahmed,M,20,,
319,Gamal Ahmed Abdulla,M,28,,
320,Mohamed Sayed Abdulla,M,18,,
321,Ahmad Hassan Abdullah,M,27,1640.0,550.0
322,Ahmed Ghanim Abdullah,M,20,1840.0,790.0
323,Aquil Hashim Abdullah (Shumate-),M,31,1870.0,830.0
324,Atallah Abdullah,M,32,,880.0
325,Magdy Ahmed Abdullah,M,25,,
326,Mohamed Abdullah,M,0,1760.0,660.0
327,Mohamed Samy Abdullah,M,0,1650.0,650.0
328,Mohamed Abdullah,M,0,1800.0,760.0
329,Osama Abdullah,M,21,,
330,Tewfik Abdullah,M,23,,
331,Wan Azlan Abdullah,M,21,1880.0,770.0
333,Abdel Wahab Abdullah Salih,M,0,1900.0,750.0
334,Abubakar Sadiq Abdullahi,M,28,,
335,Abdulqdir Abdullayev,M,28,1880.0,910.0
336,Arif Yadulla Abdullayev,M,27,1640.0,600.0
337,Mukhammad Kadyr Abdullayev,M,22,1690.0,630.0
338,Muminzhon Abdullayev,M,22,1900.0,1300.0
339,Namiq Yadulla Abdullayev,M,25,1670.0,550.0
340,Laye Abdullayeva,F,21,1700.0,470.0
341,lqar Abdulov,M,27,1750.0,740.0
342,Abdullah Abdulrahman Zeyab,M,16,1770.0,
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,16,1620.0,720.0
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23,1680.0,680.0
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20,1680.0,620.0
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,15,1700.0,590.0
347,Najim Abdulrazak Al-Enazy,M,18,1500.0,600.0
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19,1810.0,660.0
349,Waheed Abdulridha Waheed Karaawi,M,33,1780.0,740.0
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,21,1620.0,690.0
351,Julius Shareef Abdur-Rahim,M,23,2020.0,1040.0
352,Sherzod Abdurahmonov,M,22,1780.0,730.0
353,Rasul Abduraim,M,19,1830.0,740.0
354,Bekzod Makhamadzhonovich Abdurakhmonov,M,26,1720.0,740.0
355,Mukhamadmurod Abdurakhmonov,M,29,1920.0,1170.0
356,Adlan Aliyevich Abdurashidov,M,26,1720.0,600.0
357,Yusup Abdusalomov,M,26,1700.0,840.0
358,Fawzi Abdussalam,M,0,1790.0,760.0
359,Andrey Khakimovich Abduvaliyev,M,34,1900.0,1250.0
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24,1740.0,720.0
361,Aybek Abdymomunov,M,18,1620.0,540.0
362,Isao Ko Abe,M,24,1770.0,750.0
364,Kazuo Abe,M,25,1660.0,690.0
365,Kinya Abe,M,23,1680.0,680.0
366,Kiyoshi Abe,M,25,1670.0,620.0
368,Naoki Abe,M,23,1730.0,680.0
369,Osamu Abe,M,22,,
370,Shigeaki Abe,M,24,1780.0,700.0
371,Shinnosuke Abe,M,21,1790.0,910.0
372,"Sanshiro ""Sonny"" Abe",M,26,1660.0,570.0
373,Tadashi Abe,M,21,1900.0,800.0
374,Tadatoshi Abe,M,28,1700.0,600.0
375,Wakako Abe,F,18,1680.0,600.0
376,Yoshiyuki Abe,M,31,1750.0,670.0
377,Yuki Abe,M,22,1770.0,750.0
378,Angelik Abebame,F,0,,
379,Addis Abebe,M,21,1600.0,500.0
380,Biruk Abebe,M,22,1730.0,620.0
381,Benaissa Abed,M,23,1700.0,510.0
382,Soha Abed Elaal,F,35,,
383,Mojtaba Abedini Shormasti,M,27,1800.0,830.0
384,Thophile Abega Mbida,M,30,,
385,"Max ""Xam"" Abegglen",M,22,,
386,Alexandre Abeid,M,22,1940.0,920.0
387,Sonia Abejn Esteban,F,19,1690.0,480.0
