Event,Sport,event_id
Basketball Men's Basketball,Basketball,1
Judo Men's Extra-Lightweight,Judo,2
Football Men's Football,Football,3
Athletics Women's 100 metres,Athletics,4
Athletics Women's 4 x 100 metres Relay,Athletics,5
Swimming Men's 400 metres Freestyle,Swimming,6
Badminton Men's Singles,Badminton,7
Sailing Women's Windsurfer,Sailing,8
Swimming Men's 200 metres Breaststroke,Swimming,9
Swimming Men's 400 metres Breaststroke,Swimming,10
Gymnastics Men's Individual All-Around,Gymnastics,11
Gymnastics Men's Team All-Around,Gymnastics,12
Gymnastics Men's Floor Exercise,Gymnastics,13
Gymnastics Men's Horse Vault,Gymnastics,14
Gymnastics Men's Parallel Bars,Gymnastics,15
Gymnastics Men's Horizontal Bar,Gymnastics,16
Gymnastics Men's Rings,Gymnastics,17
Gymnastics Men's Pommelled Horse,Gymnastics,18
Athletics Men's Shot Put,Athletics,19
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,20
Handball Women's Handball,Handball,21
Weightlifting Women's Super-Heavyweight,Weightlifting,22
"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling,23
"Gymnastics Men's Team All-Around, Free System",Gymnastics,24
Water Polo Men's Water Polo,Water Polo,25
Sailing Mixed Three Person Keelboat,Sailing,26
Hockey Women's Hockey,Hockey,27
Rowing Men's Lightweight Double Sculls,Rowing,28
Athletics Men's Pole Vault,Athletics,29
Athletics Men's High Jump,Athletics,30
Sailing Men's Two Person Dinghy,Sailing,31
"Athletics Men's 1,500 metres",Athletics,32
Swimming Men's 100 metres Butterfly,Swimming,33
Swimming Men's 200 metres Butterfly,Swimming,34
Swimming Men's 4 x 100 metres Medley Relay,Swimming,35
Football Women's Football,Football,36
"Fencing Men's Foil, Individual",Fencing,37
"Fencing Men's epee, Individual",Fencing,38
"Fencing Men's epee, Team",Fencing,39
Sailing Mixed 8 metres,Sailing,40
"Equestrianism Mixed Jumping, Individual",Equestrianism,41
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Shooting,42
"Shooting Men's Rapid-Fire Pistol, 25 metres",Shooting,43
Shooting Men's Trap,Shooting,44
Athletics Men's 4 x 100 metres Relay,Athletics,45
Athletics Men's Long Jump,Athletics,46
Boxing Men's Light-Welterweight,Boxing,47
Athletics Women's Javelin Throw,Athletics,48
"Wrestling Men's Heavyweight, Freestyle",Wrestling,49
Taekwondo Men's Flyweight,Taekwondo,50
Boxing Men's Heavyweight,Boxing,51
"Athletics Men's 5,000 metres",Athletics,52
"Cycling Men's Road Race, Individual",Cycling,53
"Cycling Men's Road Race, Team",Cycling,54
Weightlifting Men's Lightweight,Weightlifting,55
Weightlifting Men's Middleweight,Weightlifting,56
Rowing Men's Coxless Pairs,Rowing,57
Judo Men's Half-Middleweight,Judo,58
Taekwondo Women's Flyweight,Taekwondo,59
Boxing Men's Flyweight,Boxing,60
Basketball Women's Basketball,Basketball,61
Diving Men's Platform,Diving,62
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,63
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,64
"Canoeing Men's Kayak Fours, 1,000 metres",Canoeing,65
Handball Men's Handball,Handball,66
Rowing Women's Coxless Pairs,Rowing,67
Boxing Men's Middleweight,Boxing,68
Judo Men's Lightweight,Judo,69
Boxing Men's Featherweight,Boxing,70
Tennis Men's Doubles,Tennis,71
Shooting Mixed Skeet,Shooting,72
"Wrestling Men's Featherweight, Freestyle",Wrestling,73
Sailing Mixed Two Person Heavyweight Dinghy,Sailing,74
Athletics Women's Shot Put,Athletics,75
Rowing Men's Coxed Eights,Rowing,76
Cycling Women's Sprint,Cycling,77
Cycling Women's 500 metres Time Trial,Cycling,78
Athletics Men's 110 metres Hurdles,Athletics,79
Shooting Mixed Trap,Shooting,80
Athletics Women's Marathon,Athletics,81
Athletics Men's 100 metres,Athletics,82
"Fencing Men's Foil, Team",Fencing,83
"Fencing Men's Sabre, Team",Fencing,84
Swimming Men's 100 metres Freestyle,Swimming,85
Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,86
Boxing Men's Lightweight,Boxing,87
Modern Pentathlon Men's Individual,Modern Pentathlon,88
Boxing Men's Welterweight,Boxing,89
Rowing Men's Quadruple Sculls,Rowing,90
Rowing Men's Double Sculls,Rowing,91
Rowing Men's Coxed Pairs,Rowing,92
Athletics Men's 400 metres Hurdles,Athletics,93
Athletics Men's 400 metres,Athletics,94
Athletics Men's Hammer Throw,Athletics,95
Weightlifting Men's Featherweight,Weightlifting,96
Athletics Men's 800 metres,Athletics,97
Hockey Men's Hockey,Hockey,98
Rowing Women's Single Sculls,Rowing,99
Swimming Men's 50 metres Freestyle,Swimming,100
