NOC,region_name
CHN,CHN
FIN,FIN
NOR,NOR
ROU,ROU
NED,NED
FRA,FRA
MAR,MAR
EST,EST
ESP,ESP
EGY,EGY
BUL,BUL
ITA,ITA
CHA,CHA
AZE,AZE
SUD,SUD
RUS,RUS
ARG,ARG
CUB,CUB
BLR,BLR
GRE,GRE
CMR,CMR
TUR,TUR
MEX,MEX
CHI,CHI
USA,USA
URS,URS
NCA,NCA
HUN,HUN
NGR,NGR
ALG,ALG
KUW,KUW
BRN,BRN
PAK,PAK
IRQ,IRQ
UAR,UAR
LIB,LIB
QAT,QAT
MAS,MAS
IRI,IRI
CAN,CAN
IRL,IRL
AUS,AUS
RSA,RSA
ERI,ERI
TAN,TAN
JOR,JOR
TUN,TUN
LBA,LBA
BEL,BEL
DJI,DJI
PLE,PLE
COM,COM
KAZ,KAZ
BRU,BRU
KSA,KSA
SYR,SYR
MDV,MDV
ETH,ETH
UAE,UAE
YAR,YAR
INA,INA
PHI,PHI
UZB,UZB
KGZ,KGZ
TJK,TJK
EUN,EUN
JPN,JPN
CGO,CGO
BRA,BRA
GDR,GDR
GER,GER
ISR,ISR
SWE,SWE
SRI,SRI
ARM,ARM
CIV,CIV
KEN,KEN
BEN,BEN
GHA,GHA
SOM,SOM
NIG,NIG
MLI,MLI
GBR,GBR
SUI,SUI
IND,IND
POL,POL
CRC,CRC
PAN,PAN
GEO,GEO
SLO,SLO
GUY,GUY
NZL,NZL
POR,POR
PAR,PAR
ANG,ANG
VEN,VEN
COL,COL
FRG,FRG
BAN,BAN
PER,PER
URU,URU
ESA,ESA
PUR,PUR
UGA,UGA
HON,HON
ECU,ECU
TKM,TKM
MRI,MRI
SEY,SEY
TCH,TCH
MTN,MTN
SKN,SKN
TTO,TTO
DOM,DOM
VIN,VIN
JAM,JAM
LBR,LBR
SUR,SUR
NEP,NEP
MGL,MGL
PLW,PLW
LTU,LTU
MON,MON
TOG,TOG
NAM,NAM
AHO,AHO
UKR,UKR
ISL,ISL
ASA,ASA
AUT,AUT
SAM,SAM
RWA,RWA
CRO,CRO
DMA,DMA
HAI,HAI
DEN,DEN
MLT,MLT
LUX,LUX
CYP,CYP
GUI,GUI
BIZ,BIZ
YMD,YMD
BER,BER
SCG,SCG
SLE,SLE
PNG,PNG
AFG,AFG
YEM,YEM
IOA,IOA
OMA,OMA
FIJ,FIJ
VAN,VAN
MDA,MDA
BAH,BAH
GUA,GUA
YUG,YUG
LAT,LAT
SRB,SRB
IVB,IVB
MOZ,MOZ
ISV,ISV
CAF,CAF
MAD,MAD
MAL,MAL
BIH,BIH
GUM,GUM
CAY,CAY
SVK,SVK
BAR,BAR
GBS,GBS
THA,THA
TLS,TLS
COD,COD
GAB,GAB
SMR,SMR
LAO,LAO
BOT,BOT
ROT,ROT
KOR,KOR
CAM,CAM
PRK,PRK
SOL,SOL
SEN,SEN
CPV,CPV
CZE,CZE
GEQ,GEQ
BOL,BOL
ANT,ANT
AND,AND
ZIM,ZIM
GRN,GRN
HKG,HKG
LCA,LCA
FSM,FSM
MYA,MYA
MAW,MAW
ZAM,ZAM
RHO,RHO
TPE,TPE
STP,STP
MKD,MKD
LIE,LIE
MNE,MNE
GAM,GAM
COK,COK
ALB,ALB
WIF,WIF
SWZ,SWZ
BUR,BUR
BDI,BDI
ARU,ARU
NRU,NRU
VNM,VNM
VIE,VIE
BHU,BHU
MHL,MHL
KIR,KIR
TUV,TUV
TGA,TGA
KOS,KOS
SSD,SSD
LES,LES
